archaea_family,bacteria_phylum,observed,expected,residual
Halalkalicoccaceae,Verrucomicrobiota,0,0.64,-0.802
Methanocaldococcaceae,Deinococcota,3,4.77,-0.811
Haladaptataceae,Acidobacteriota,27,31.69,-0.833
Halalkalicoccaceae,Pseudomonadota,167,178.15,-0.836
,Acidobacteriota,3,4.87,-0.846
QS-9-68-17,Verrucomicrobiota,0,0.73,-0.857
GW2011-AR1,Planctomycetota,0,0.75,-0.865
Nitrosopumilaceae,Bacteroidota,1,2.32,-0.866
Haloferacaceae,Bacillota_C,55,61.97,-0.885
Nitrosopumilaceae,Deinococcota,1,2.39,-0.897
GW2011-AR1,Chloroflexota,0,0.82,-0.905
Haloferacaceae,Planctomycetota,35,40.88,-0.92
Natrialbaceae,Bacillota_A,263,278.46,-0.926
Methanothermobacteraceae,Pseudomonadota,3,5.1,-0.929
Methanocaldococcaceae,Pseudomonadota,8,11.12,-0.936
Nitrosopumilaceae,Actinomycetota,2,3.83,-0.936
GW2011-AR1,Desulfobacterota,0,0.88,-0.937
Halococcaceae,Bacillota,82,90.96,-0.939
,Bacteroidota,31,36.72,-0.944
Halobacteriaceae,Cyanobacteriota,112,122.53,-0.952
Haloferacaceae,Spirochaetota,79,88.0,-0.96
Haloarculaceae,Desulfobacterota_F,12,15.85,-0.967
Thermococcaceae,Bacillota,14,18.16,-0.977
Methanobacteriaceae,Cyanobacteriota,0,0.96,-0.982
Methanocaldococcaceae,Spirochaetota,0,0.97,-0.983
GW2011-AR1,Acidobacteriota,0,1.02,-1.012
Natrialbaceae,Bacillota_C,54,62.17,-1.036
GW2011-AR1,Fusobacteriota,0,1.08,-1.039
Thermococcaceae,Actinomycetota,16,20.76,-1.045
Natrialbaceae,Cyanobacteriota,306,325.3,-1.07
Haladaptataceae,Bacillota_E,1,2.8,-1.077
Halalkalicoccaceae,Bacteroidota,65,74.31,-1.08
Methanobacteriaceae,Bacteroidota,0,1.26,-1.121
Methanobacteriaceae,Deinococcota,0,1.29,-1.137
Methanobacteriaceae,Pseudomonadota,1,3.01,-1.159
Halalkalicoccaceae,Campylobacterota,12,16.78,-1.166
Haladaptataceae,Chlamydiota,13,18.41,-1.26
Haladaptataceae,Myxococcota,0,1.71,-1.306
Natrialbaceae,Spirochaetota,76,88.29,-1.308
Natrialbaceae,Desulfobacterota,39,48.14,-1.317
Haloarculaceae,Deferribacterota,5,8.94,-1.318
Haloarculaceae,Verrucomicrobiota,1,3.45,-1.321
Methanocaldococcaceae,Actinomycetota,4,7.67,-1.324
GW2011-AR1,Actinomycetota,8,12.78,-1.336
Methanothermobacteraceae,Actinomycetota,1,3.51,-1.341
Haloarculaceae,Bacillota_C,48,58.52,-1.375
QS-9-68-17,Deferribacterota,0,1.9,-1.379
Natrialbaceae,Verrucomicrobiota,1,3.67,-1.394
Haloferacaceae,Fusobacteriota,48,58.96,-1.427
Haladaptataceae,Verrucomicrobiota,0,2.07,-1.439
Methanobacteriaceae,Actinomycetota,0,2.08,-1.441
Natrialbaceae,Fusobacteriota,48,59.15,-1.449
,Pseudomonadota,74,88.03,-1.496
Methanosarcinaceae,Bacillota,33,42.89,-1.511
Haloarculaceae,Bacillota_A,237,262.13,-1.552
QS-9-68-17,Bacteroidota,70,84.74,-1.601
Thermococcaceae,Deinococcota,7,12.93,-1.648
Natrialbaceae,Chlamydiota,23,32.59,-1.681
Haloarculaceae,Campylobacterota,74,90.02,-1.688
Halococcaceae,Pseudomonadota,129,150.82,-1.776
Natrialbaceae,Desulfobacterota_F,9,16.84,-1.91
Haloferacaceae,Verrucomicrobiota,0,3.66,-1.913
Natrialbaceae,Chloroflexota,32,44.9,-1.925
GW2011-AR1,Cyanobacteriota,1,5.94,-2.026
Thermococcaceae,Pseudomonadota,19,30.12,-2.026
QS-9-68-17,Pseudomonadota,174,203.17,-2.047
Halalkalicoccaceae,Desulfobacterota,2,8.45,-2.218
Methanosarcinaceae,Deinococcota,18,30.53,-2.267
Halobacteriaceae,Pseudomonadota,338,382.48,-2.274
Methanosarcinaceae,Pseudomonadota,51,71.12,-2.386
GW2011-AR1,Pseudomonadota,8,18.53,-2.447
GW2011-AR1,Deinococcota,0,7.95,-2.82
Methanosarcinaceae,Actinomycetota,29,49.03,-2.861
